图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
../../dataset/fruit30_split\val\桂圆\135.jpg,5,桂圆,5,桂圆,10,猕猴桃,20,荔枝,True,6.3906464e-07,1.8690932e-06,6.963328e-07,1.9991712e-05,1.983309e-05,0.99901116,7.807227e-05,1.4667919e-05,7.235932e-05,2.524962e-08,0.00030154575,1.9799394e-07,0.000113519214,1.4783961e-05,2.6672209e-05,2.8275766e-05,7.19421e-08,5.9901373e-05,1.484973e-06,5.6344597e-08,0.00015094531,2.6305338e-07,2.3621931e-05,5.5509558e-05,1.10073344e-07,9.9493064e-08,7.8397795e-07,2.8339707e-06,7.846264e-09
../../dataset/fruit30_split\val\桂圆\136.jpg,5,桂圆,5,桂圆,6,梨,10,猕猴桃,True,3.4277357e-06,0.00018093415,2.0438421e-07,2.6063748e-05,5.2889086e-06,0.996391,0.0022450269,0.00012482629,8.1695623e-07,4.7950202e-08,0.000515253,5.182747e-07,0.00011493791,3.0212168e-05,1.9917584e-06,3.0011895e-05,6.4562494e-07,1.0696234e-05,2.1479555e-06,5.7013216e-07,0.0003082617,1.3883732e-07,4.43142e-07,4.4116837e-06,2.6218788e-07,4.1418033e-07,7.4452277e-07,6.73702e-07,1.16095e-07
../../dataset/fruit30_split\val\桂圆\14.jpg,5,桂圆,5,桂圆,10,猕猴桃,20,荔枝,True,1.3798269e-05,4.8690024e-05,8.3283e-06,0.00035120698,0.00088825036,0.9878428,0.0006996345,0.0010719409,0.0008569044,1.8942048e-07,0.002819398,1.369672e-06,0.00094268157,0.00022251997,0.00016551554,4.729354e-05,8.700899e-06,0.00013414904,9.8052544e-05,9.223239e-06,0.0027958837,1.1265857e-05,0.00040529482,0.0005398633,2.0219672e-06,2.495611e-06,6.515367e-06,4.9177947e-06,1.0073337e-06
../../dataset/fruit30_split\val\桂圆\142.jpg,5,桂圆,5,桂圆,12,砂糖橘,6,梨,True,2.223974e-06,1.1386458e-05,8.866962e-06,0.000121306344,3.6096684e-05,0.9937117,0.0012378923,0.00014015277,0.00015460092,5.850384e-08,0.0010106303,1.4684102e-06,0.0015289072,5.9170186e-05,0.000604683,0.0011975304,8.0720247e-07,4.7455207e-05,1.2687323e-06,1.0877843e-06,7.342937e-05,1.9566444e-07,5.1394445e-06,3.2249587e-05,3.5101586e-06,6.808537e-07,3.7958387e-06,3.1132881e-06,5.563255e-07
../../dataset/fruit30_split\val\桂圆\145.jpeg,5,桂圆,5,桂圆,13,胡萝卜,15,芒果,True,0.0001843321,0.00018023676,9.670242e-05,0.00029563945,6.035454e-05,0.95210826,0.00064451713,0.00050074223,0.009031399,1.0870591e-05,0.0007215152,2.1942762e-05,0.0023981729,0.014782234,0.0019410359,0.012072193,3.9817783e-06,9.7271906e-05,5.8794194e-06,2.821404e-06,0.0012048563,0.000117048,0.0016898311,0.0008148307,2.7329013e-06,5.8623955e-05,0.00016036462,0.00078989204,1.5995374e-06
../../dataset/fruit30_split\val\桂圆\150.jpg,5,桂圆,5,桂圆,13,胡萝卜,10,猕猴桃,True,1.8872637e-06,2.2447139e-05,3.8624128e-07,1.5583541e-06,1.1846597e-06,0.99897265,2.0565893e-05,9.774687e-05,3.5051322e-05,4.3434767e-09,0.00019011337,1.6207912e-07,1.8311475e-05,0.0004371926,1.0607808e-05,5.4617056e-05,1.0357306e-07,3.0760248e-06,1.6433346e-07,4.620268e-08,6.475812e-05,4.257716e-07,9.355802e-07,5.729028e-05,1.2405769e-07,9.5455654e-08,2.8131412e-06,5.5812343e-06,1.2004235e-08
../../dataset/fruit30_split\val\桂圆\153.jpg,5,桂圆,5,桂圆,7,椰子,6,梨,True,3.297463e-05,0.00034193753,5.532058e-05,0.0044658775,0.0005226034,0.8744765,0.0141549045,0.08572598,0.0024306364,7.215081e-05,0.0068887835,0.0003283884,0.00065215345,0.0003057013,0.00041968882,0.0045645726,7.49892e-05,0.0005059091,4.9114064e-05,0.00039135158,0.001731692,0.00015041334,0.00024859872,0.0007085377,0.00029934497,2.8060997e-05,8.013695e-05,0.00021131968,8.225136e-05
../../dataset/fruit30_split\val\桂圆\160.jpg,5,桂圆,5,桂圆,20,荔枝,12,砂糖橘,True,1.51007025e-05,0.0004056127,1.3107611e-05,9.37193e-06,7.023272e-05,0.99431676,0.00011094467,0.00014753998,0.000101606696,4.3026387e-07,0.00024981913,3.1590005e-06,0.001537102,0.00012286464,6.1338855e-05,0.00017859983,8.0021476e-07,5.064891e-05,1.1103109e-05,8.107013e-07,0.0017270396,3.692309e-06,0.0002477871,0.00055254385,8.727763e-06,1.2979109e-06,4.141799e-05,8.330576e-06,2.1726635e-06
../../dataset/fruit30_split\val\桂圆\161.jpg,5,桂圆,5,桂圆,23,葡萄-红,4,柠檬,True,0.0010744452,0.00013029255,6.5789973e-06,0.0003188217,0.0025414345,0.983166,3.0786818e-05,0.0012049879,9.9057645e-05,2.3786886e-06,0.001233698,1.2438999e-05,0.0012080887,0.0002584725,9.273923e-05,1.6223885e-05,7.5154494e-06,1.8211593e-05,1.9655628e-05,3.8247913e-06,0.0005065827,1.2034924e-05,0.0005963663,0.0073207095,5.170024e-06,6.682471e-05,2.6877131e-05,3.446617e-06,1.6316846e-05
../../dataset/fruit30_split\val\桂圆\162.jpg,5,桂圆,5,桂圆,7,椰子,15,芒果,True,0.00042075868,0.0010529602,0.0032161851,0.021687813,0.001274743,0.6663814,0.052199595,0.14421584,0.00070201326,8.488712e-05,0.0059075654,0.0007553362,0.012738007,5.9526526e-05,0.010603608,0.06275032,1.1506798e-05,0.0065170587,0.0035335973,0.0001381853,0.0025041942,5.9673624e-05,9.132699e-05,0.0007749387,0.0002474854,0.0007887567,0.0010174761,0.000119292345,0.00014591256
../../dataset/fruit30_split\val\桂圆\167.jpg,5,桂圆,5,桂圆,10,猕猴桃,13,胡萝卜,True,2.8930104e-05,0.0007629926,9.3352435e-05,6.611553e-05,0.00020934726,0.96184146,0.00097500934,0.0001674481,1.21797675e-05,2.1604693e-07,0.03072176,9.74052e-07,0.0014047213,0.0015553971,3.200152e-05,0.0004936383,7.5531907e-06,0.00028720673,7.869389e-05,4.116456e-06,0.000580302,2.5573067e-06,1.3493478e-05,0.0003785038,2.3936165e-05,5.348582e-06,0.0001408885,7.2843104e-06,0.00010460442
../../dataset/fruit30_split\val\桂圆\169.jpg,5,桂圆,5,桂圆,15,芒果,10,猕猴桃,True,3.6106123e-06,0.00026183503,0.0004250902,0.0016416907,6.569571e-05,0.9064765,0.008132517,9.8598386e-05,6.522228e-05,3.5675248e-07,0.01315912,3.5190735e-06,0.0003766769,0.00011775589,0.00072635536,0.06781362,1.0125657e-06,0.00015716148,9.482651e-06,1.7177259e-06,0.00035783998,1.183659e-06,2.9602356e-06,3.9238617e-05,1.9729909e-05,7.7856384e-07,5.5425767e-06,3.437602e-05,7.9994805e-07
../../dataset/fruit30_split\val\桂圆\19.jpg,5,桂圆,5,桂圆,15,芒果,6,梨,True,2.9384923e-06,5.725792e-05,6.0819515e-05,0.0004225034,0.00013005764,0.99045545,0.00095934205,0.00015452033,3.5833895e-05,1.8049491e-07,0.00032724778,2.4407886e-06,0.0001825911,0.00062690646,0.00010609529,0.005097747,3.7758832e-07,0.0002269918,7.354247e-06,7.0671126e-07,0.00054036896,3.41361e-06,3.4284923e-05,0.0005257623,1.2534739e-05,1.8423511e-06,8.108885e-07,2.2186203e-05,1.3371815e-06
../../dataset/fruit30_split\val\桂圆\194.jpg,5,桂圆,5,桂圆,6,梨,10,猕猴桃,True,1.1142703e-06,6.83908e-05,3.3674485e-05,0.0022074087,2.6959658e-05,0.9854064,0.004819088,0.000556235,6.702977e-05,4.758131e-08,0.0047725476,1.0215581e-05,8.297921e-05,1.5782664e-06,3.466763e-05,0.0004518169,3.4942716e-06,0.0002562014,1.7508286e-05,2.4970004e-06,0.0010441304,2.437296e-07,7.947921e-05,4.839253e-05,2.4324208e-06,9.510084e-07,1.505326e-06,2.5911165e-06,4.6010922e-07
../../dataset/fruit30_split\val\桂圆\33.jpg,5,桂圆,5,桂圆,6,梨,10,猕猴桃,True,1.7864964e-05,1.076188e-05,3.062402e-05,0.0020292462,0.0027972409,0.9830821,0.00404749,0.00028165703,0.00065805134,8.0043066e-07,0.0028095886,3.9640236e-06,0.0013351865,0.00020916149,0.0010459945,0.0012721098,5.077336e-06,1.5812484e-05,5.5874457e-06,9.056856e-06,0.00024255917,2.8715429e-05,5.6239214e-06,1.0695843e-05,7.593413e-06,6.514919e-07,8.4053056e-07,3.2500542e-05,3.3018569e-06
../../dataset/fruit30_split\val\桂圆\37.jpg,5,桂圆,5,桂圆,1,山竹,20,荔枝,True,9.20891e-06,0.27941915,0.0028666735,0.00092733966,2.7636626e-05,0.679501,0.00016937124,0.006536361,2.033439e-05,5.637178e-05,0.000614229,0.0022827797,0.0029130059,0.00020345047,0.0009630629,0.00015263568,5.742863e-06,0.00040391335,2.3201558e-06,0.00022950485,0.014320901,5.5624537e-06,1.5051208e-06,0.0060600466,0.0002029656,2.6304919e-05,0.0020329582,3.9076986e-05,6.5196537e-06
../../dataset/fruit30_split\val\桂圆\47.jpg,5,桂圆,5,桂圆,15,芒果,13,胡萝卜,True,0.0003853458,0.0019332382,0.0018007625,0.00061944826,0.00096310774,0.93087095,0.00059115095,0.0019706537,0.0023764228,4.6426458e-06,0.0020067827,5.133751e-05,0.0030135547,0.011228484,0.0007836719,0.02376167,0.00013447164,0.0012812121,0.00056016364,2.6635606e-05,0.0012678788,7.817345e-05,3.3537468e-05,0.00016486623,0.00023622125,0.00020690063,0.010144815,0.0033742278,0.00012970337
../../dataset/fruit30_split\val\桂圆\57.jpg,5,桂圆,5,桂圆,10,猕猴桃,20,荔枝,True,4.802009e-07,2.7151284e-05,1.9833884e-05,0.00045076193,1.5031961e-05,0.9895319,0.0017019269,0.00090266764,5.5257246e-05,9.652904e-08,0.0046328446,4.1148e-06,0.0003176713,7.158921e-06,0.000118323405,8.418575e-05,4.5591055e-06,3.9740753e-05,1.1397839e-06,4.410904e-06,0.0017891937,7.107706e-07,4.5731642e-05,0.00023867362,5.194659e-06,3.4757005e-07,3.2129204e-08,3.2598166e-07,4.6625655e-07
../../dataset/fruit30_split\val\桂圆\69.jpg,5,桂圆,5,桂圆,12,砂糖橘,6,梨,True,6.562482e-05,0.0018148122,3.2028554e-05,0.00317754,0.0013772487,0.9301471,0.014874171,0.0029353828,0.00046235026,5.0483636e-06,0.014734282,0.00031587965,0.016561767,1.7173154e-05,0.0003853169,0.00018889488,4.609313e-06,0.004486628,1.3430987e-05,3.6048898e-06,0.0057884664,2.7136166e-06,0.0007110378,0.0017956167,2.0112693e-05,1.45763615e-05,1.8708924e-05,1.1629316e-05,3.4265842e-05
../../dataset/fruit30_split\val\桂圆\71.jpg,5,桂圆,5,桂圆,23,葡萄-红,12,砂糖橘,True,0.0021016528,0.00064826495,2.5316125e-05,7.1089584e-05,0.0028243985,0.963809,2.8506225e-05,0.0019733675,0.00019055264,3.9564993e-06,0.00045133242,9.387585e-05,0.0031893158,0.00055359694,4.1762643e-05,5.746473e-05,1.9954316e-05,9.0270914e-05,0.00016081177,2.8659611e-05,0.00062038354,5.7501624e-05,0.001073496,0.020980287,1.9309553e-05,0.00012957325,0.0004382151,8.6586015e-06,0.00030945236
../../dataset/fruit30_split\val\桂圆\73.jpg,5,桂圆,5,桂圆,20,荔枝,22,葡萄-白,True,8.23899e-05,0.0006227696,0.0030038657,0.013967975,0.0027248166,0.8204398,0.0049115107,0.00061875343,0.00031727343,3.6942486e-06,0.0024734824,1.2886167e-05,0.0027437375,2.5126808e-05,0.0095775705,0.008728494,0.0001934536,0.0012428925,0.001487044,0.00016278903,0.09259686,8.2084116e-05,0.028895335,0.0045238347,3.3343593e-05,2.0922937e-05,8.751816e-06,0.00026315008,0.00023545155
../../dataset/fruit30_split\val\桂圆\76.jpg,5,桂圆,5,桂圆,12,砂糖橘,13,胡萝卜,True,4.156738e-06,4.319707e-06,2.807644e-05,0.0005902369,1.8298495e-05,0.9846209,0.0025577878,0.00032540754,0.00010595382,6.172306e-08,0.0004526067,1.3662859e-06,0.00430061,0.0026017912,0.0015107645,0.0013650272,7.362993e-07,0.00045368078,8.7913384e-07,2.0962577e-06,0.0007615395,6.0598916e-07,2.03738e-06,0.00024654274,3.6521503e-06,1.2512338e-06,1.942622e-05,2.0049527e-05,2.0348253e-07
../../dataset/fruit30_split\val\桂圆\78.jpg,5,桂圆,5,桂圆,6,梨,10,猕猴桃,True,6.318232e-05,0.00558138,2.2140723e-05,0.01537725,0.006131736,0.5930796,0.20423779,0.026551368,0.00023407365,4.6921355e-06,0.11237381,0.00024969343,0.011793292,0.00032325616,0.00271412,0.0026114285,1.816703e-05,0.014778153,0.0014705503,3.1775837e-06,0.0007602162,9.191352e-05,0.00016251736,0.00084928767,0.00013010629,0.00023386347,4.8674465e-05,7.867645e-05,2.5890091e-05
../../dataset/fruit30_split\val\桂圆\79.jpg,5,桂圆,5,桂圆,20,荔枝,6,梨,True,1.3801256e-06,0.00034415547,0.00044401528,0.00030751582,1.2918026e-05,0.966556,0.0046117655,0.00055874354,5.3909465e-05,3.2830224e-07,0.0014475936,1.927758e-05,4.9652263e-05,7.906276e-06,1.5020141e-05,0.00014169767,1.0255318e-05,0.0002575497,1.016361e-05,1.22024285e-05,0.024775773,3.537666e-06,4.902945e-05,0.00029288317,1.0859515e-05,2.492066e-06,5.4461293e-07,1.4782797e-06,1.272972e-06
../../dataset/fruit30_split\val\桂圆\81.jpg,5,桂圆,5,桂圆,10,猕猴桃,6,梨,True,1.4750777e-05,0.0012309725,5.0251103e-05,0.008214752,8.81904e-05,0.88217413,0.027481921,0.0059985085,2.2382885e-05,6.8643103e-06,0.040587805,0.0026968908,0.003100215,0.0003948272,0.000881859,0.0022689512,2.762207e-05,0.017364446,3.4229244e-05,1.8053668e-05,0.0050094114,3.2953558e-05,1.1219489e-05,0.0017414696,0.0004383947,3.4119832e-05,6.3805666e-05,9.143458e-06,1.962974e-06
../../dataset/fruit30_split\val\桂圆\83.jpg,5,桂圆,5,桂圆,12,砂糖橘,15,芒果,True,8.928268e-06,5.1790787e-05,2.1176109e-05,0.00085005234,0.0007402119,0.9754733,0.0021566688,0.00094816403,5.1991552e-05,4.1955334e-07,0.0031723918,8.290106e-06,0.0053053265,0.00033619613,0.0019389492,0.004341235,7.683201e-07,0.0018402546,0.00016194959,2.412128e-06,0.002486644,3.3150227e-06,8.064488e-06,4.4733308e-05,2.6221998e-05,1.4858366e-06,1.0927526e-05,7.44794e-06,6.045799e-07
../../dataset/fruit30_split\val\桂圆\96.png,5,桂圆,5,桂圆,23,葡萄-红,10,猕猴桃,True,3.1347918e-05,0.0007335406,0.00012124413,0.00020550654,7.9887344e-05,0.9654937,0.0036531605,0.0016225395,0.0011236285,3.2643884e-06,0.00636513,1.4397031e-05,0.00035217137,0.003612136,0.00037792113,0.0056300634,1.574792e-05,0.00046115997,3.6851303e-05,1.4351676e-06,0.0013917893,1.9174991e-05,0.0005441636,0.007867709,5.5565164e-05,2.9384328e-06,2.7476692e-06,0.00017671494,4.13375e-06
../../dataset/fruit30_split\val\桂圆\99.jpg,5,桂圆,5,桂圆,20,荔枝,1,山竹,True,0.00046954164,0.0054090964,8.805875e-05,0.00018667852,2.0412012e-05,0.97400427,0.0005435044,0.0021072477,0.00018181684,7.271557e-06,0.0026342906,5.9283186e-05,0.00054229336,0.00013698848,0.00050394743,0.0015089398,2.9920106e-05,9.932071e-05,2.1381957e-05,0.00016307674,0.0081876,0.00013767357,0.0010674414,0.0016314891,6.2658706e-05,5.3771204e-05,2.0325782e-05,0.000103208076,1.8352766e-05
../../dataset/fruit30_split\val\梨\103.jpg,6,梨,6,梨,15,芒果,17,苹果-红,True,1.6851021e-07,4.161304e-05,1.9864183e-07,6.802818e-05,2.5228019e-06,0.00014988017,0.9983669,0.00015506793,4.677874e-06,2.4750625e-07,0.00029662467,6.170759e-05,8.132595e-05,9.58072e-07,2.8480272e-05,0.00036738528,1.3102548e-08,0.00031911163,2.1227586e-05,2.5961683e-08,1.1994708e-05,9.213999e-08,7.5939784e-07,2.9140137e-06,9.239813e-07,3.2974833e-07,5.338277e-06,1.1596559e-05,1.4934011e-08
../../dataset/fruit30_split\val\梨\105.jpg,6,梨,6,梨,10,猕猴桃,5,桂圆,True,5.0619647e-06,6.5485796e-07,8.001747e-09,0.00016474028,5.8601777e-06,0.002345367,0.9923374,0.0001461634,4.417011e-06,1.386932e-06,0.0031166673,1.8234694e-05,0.0015375522,2.3553808e-05,5.4819215e-05,8.347095e-05,1.0833743e-07,0.00012441973,1.49526195e-05,3.711387e-07,5.785429e-06,3.79869e-07,4.072996e-08,4.3765124e-07,6.15654e-07,2.710865e-06,3.7948755e-06,1.1423355e-06,3.297279e-09
../../dataset/fruit30_split\val\梨\107.jpg,6,梨,6,梨,10,猕猴桃,14,脐橙,True,1.475138e-05,9.175912e-07,1.4072864e-08,0.00026724278,6.7123765e-05,0.0002505871,0.99339783,0.000200554,4.7540148e-06,1.2141284e-05,0.0021079124,9.7312695e-05,0.0010080695,0.00021448286,0.0012931383,0.0004316625,2.0650005e-07,0.00029003178,0.00027268735,2.6883106e-07,1.4105501e-06,4.0554707e-07,4.119681e-07,1.924895e-07,6.3886756e-07,5.2107807e-05,4.591475e-06,8.594832e-06,2.3912051e-08
../../dataset/fruit30_split\val\梨\11.jpg,6,梨,18,苹果-青,6,梨,17,苹果-红,True,6.700097e-05,0.002898284,5.8132893e-05,0.049795598,0.007930996,0.002859024,0.38001227,0.015130704,0.000362285,8.2205595e-05,0.0035664872,0.013509419,0.0008202146,0.00049108255,0.0002947587,0.009468607,0.0025769663,0.09626064,0.3958996,0.00022896756,0.008908809,0.0008791457,0.00026010777,0.001645246,0.0023039756,0.0002228213,0.0015879349,0.0010921025,0.00078674173
../../dataset/fruit30_split\val\梨\118.jpg,6,梨,6,梨,7,椰子,10,猕猴桃,True,1.32735695e-05,7.883674e-06,2.4058284e-07,0.0009801963,9.1678514e-05,0.000100988706,0.9939896,0.0028526892,1.3627978e-05,1.3783222e-06,0.00128044,1.7852472e-06,6.919914e-07,2.1960213e-06,4.8482157e-06,0.0004492511,3.2988293e-08,4.4122236e-05,0.00013256472,2.127716e-08,7.47422e-06,6.713435e-07,4.314468e-07,7.93147e-06,5.552856e-07,3.6478548e-06,5.065743e-06,6.6727216e-06,8.5765436e-08
../../dataset/fruit30_split\val\梨\123.jpg,6,梨,6,梨,7,椰子,3,柚子,True,2.492091e-05,2.8130955e-05,1.4465909e-06,0.009635749,0.0021469588,0.00030609148,0.9663597,0.012546046,0.0003016338,0.000121130186,0.0028892667,7.800696e-06,6.6369334e-06,2.7311573e-05,5.1254e-05,0.0051004766,5.979626e-06,6.141319e-05,0.00022421099,3.5821706e-06,8.321682e-06,1.7958564e-06,5.280888e-06,1.10759165e-05,8.270908e-05,5.821772e-06,5.275412e-06,2.0709655e-05,9.2069595e-06
../../dataset/fruit30_split\val\梨\134.jpg,6,梨,6,梨,5,桂圆,3,柚子,True,1.92591e-05,1.1392013e-05,8.738263e-07,0.0019488779,0.0013757573,0.004216487,0.9870111,0.0012283521,2.5620668e-05,1.4258757e-05,0.0015375781,4.8986863e-06,7.100246e-06,3.996327e-06,1.3762217e-05,0.0018603667,1.0740532e-06,0.00026720756,0.00017901835,7.0852298e-06,0.00018503756,1.2263212e-05,1.3196164e-05,2.7372675e-05,2.10005e-06,2.606841e-06,5.0711096e-06,1.8099929e-05,2.2731015e-07
../../dataset/fruit30_split\val\梨\147.jpg,6,梨,6,梨,15,芒果,3,柚子,True,0.002698787,0.00030172867,0.00026151055,0.021716252,0.0034102495,0.007615499,0.87633675,0.014312374,0.002594057,0.001401402,0.01271636,0.00014483693,0.00028392224,0.008501482,0.000547447,0.030086668,0.000405236,0.0005788888,0.0005669725,0.002192981,0.0061086426,0.0007184922,0.00012024638,0.0005457221,0.0013120784,0.0009470061,0.002555689,0.0009909978,2.7876054e-05
../../dataset/fruit30_split\val\梨\162.jpg,6,梨,6,梨,3,柚子,18,苹果-青,True,6.143579e-06,0.00019278403,4.8162674e-06,0.09657967,0.0023508996,0.0004884535,0.873404,0.0032132224,6.0394173e-05,0.000105836196,0.0054407273,4.831087e-05,2.9549732e-05,0.0001661354,0.0007852944,0.0007025367,1.622834e-05,0.0022041935,0.012870681,8.321006e-05,0.00045888498,0.00021415476,2.7832925e-06,4.5953902e-06,0.0002831424,3.16287e-05,5.3702192e-06,0.00024108143,5.3246486e-06
../../dataset/fruit30_split\val\梨\168.jpg,6,梨,6,梨,5,桂圆,7,椰子,True,5.827488e-07,2.2658926e-07,8.543735e-07,0.000107791384,8.299341e-05,0.0032389823,0.99292046,0.0024097865,1.6662567e-05,4.0665935e-07,9.0240515e-05,1.1746091e-06,2.789167e-05,1.1141899e-06,4.180221e-05,0.0006289098,6.2310086e-08,9.322287e-05,0.0001452478,1.9068376e-07,0.00010212824,1.36711105e-05,7.677235e-06,4.728125e-06,5.708886e-07,8.366244e-07,5.786364e-05,3.7715606e-06,2.0040666e-07
../../dataset/fruit30_split\val\梨\169.jpg,6,梨,6,梨,18,苹果-青,17,苹果-红,True,4.2400265e-05,8.174377e-05,4.9870276e-05,0.0019917344,0.001550149,0.0002223548,0.769058,0.0026958447,0.00018402789,4.3516648e-06,0.01995118,0.001516793,0.00085434254,3.1832253e-05,0.0012887295,0.008148475,5.4397215e-06,0.06352578,0.12768863,1.1372504e-05,0.00025269808,0.00019812874,6.704913e-05,2.1835363e-05,0.0001869646,0.000120392426,4.288587e-05,0.00019511898,1.1893211e-05
../../dataset/fruit30_split\val\梨\170.jpg,6,梨,18,苹果-青,6,梨,3,柚子,True,3.3804224e-06,4.7926984e-05,1.8030001e-06,0.005557757,0.0007828344,6.637835e-05,0.16678107,0.00021984057,3.1840143e-05,2.391979e-06,0.0029961327,1.627514e-05,7.070377e-06,2.3583627e-06,6.0140255e-06,0.00024505536,2.1610504e-05,0.0046530846,0.81828165,1.0682968e-05,8.3486884e-05,1.9854966e-05,2.5806707e-05,1.36285735e-05,5.747477e-05,1.3721401e-05,2.1757929e-05,2.0069516e-05,9.083333e-06
../../dataset/fruit30_split\val\梨\176.jpg,6,梨,6,梨,18,苹果-青,3,柚子,True,0.00045716588,0.001223195,0.00013376644,0.15047911,0.07363786,4.8761078e-05,0.4027137,0.0023447722,0.00012242774,0.00014657447,0.010168407,7.509438e-05,0.00023065053,2.0323007e-06,0.0023091466,0.03388379,4.3956155e-05,0.0006200364,0.31550732,4.3912372e-05,0.00033065485,1.8740233e-05,0.0042144484,3.2032047e-05,0.00025001398,0.00026793298,0.00015340421,4.3154832e-05,0.000497952
../../dataset/fruit30_split\val\梨\177.jpg,6,梨,6,梨,15,芒果,3,柚子,True,0.00053946226,0.0019371448,0.0012131664,0.05821705,0.010201992,0.0023669724,0.61861426,0.037054207,0.00023273352,0.0006116509,0.015800359,0.0046813902,0.0031887246,0.00040278648,0.010593421,0.16703694,0.0001547808,0.00997687,0.047380447,0.000110435554,0.0024190433,0.00013605769,0.0016663255,0.00027350677,0.0018638304,0.0018813546,0.00076538656,0.00015111646,0.0005286027
../../dataset/fruit30_split\val\梨\180.jpg,6,梨,14,脐橙,15,芒果,6,梨,True,0.0005008686,8.2428756e-05,0.001047899,0.011078781,0.0010468258,0.00902191,0.09675369,0.0032858527,0.021756295,7.059749e-05,0.0055258465,0.0019329349,0.07994456,0.006577766,0.6297068,0.11811707,4.0960367e-05,0.009705481,0.00036034177,9.718211e-06,0.00013106404,0.00012060479,2.992576e-06,2.9954756e-05,0.00019212105,0.0019955598,0.0001797073,0.0003224158,0.00045892844
../../dataset/fruit30_split\val\梨\185.jpg,6,梨,6,梨,10,猕猴桃,8,榴莲,True,2.9284927e-06,1.1621886e-06,4.701738e-07,0.0030370115,0.00055705954,0.00026391158,0.9664572,0.00052755873,0.0087637855,1.5666424e-06,0.017599445,1.5303439e-06,3.7611953e-06,6.023795e-06,4.752955e-06,3.347132e-05,9.3310155e-05,0.0014103724,0.00028906701,1.8542362e-06,0.00023867995,0.0005217811,0.000115430856,1.3672535e-05,3.4628017e-06,4.084427e-07,9.030601e-06,4.113134e-05,2.502586e-07
../../dataset/fruit30_split\val\梨\187.jpg,6,梨,6,梨,10,猕猴桃,15,芒果,True,0.00049251795,1.20703335e-05,9.058756e-06,0.0016240891,0.00045930513,0.000120376455,0.9833099,0.00022020485,5.512103e-05,1.0908506e-05,0.0040098596,0.00036764215,0.001872133,6.8201705e-05,0.0010074615,0.0028824685,2.6231871e-06,0.0011000624,0.0003850355,5.750427e-05,0.00012005052,0.00018915167,2.0371592e-05,3.1617023e-05,0.00010295922,0.0006858275,0.00069162453,8.867551e-05,3.0922733e-06
../../dataset/fruit30_split\val\梨\191.jpg,6,梨,10,猕猴桃,18,苹果-青,15,芒果,False,0.0053920755,0.039158437,0.0013236927,0.059214957,0.020400796,0.033327464,0.060810044,0.009770368,0.0009888948,0.00034502475,0.24373826,0.001007387,0.0032962533,0.0045786262,0.0032865196,0.119608544,0.002027299,0.073756956,0.19927628,0.00090362574,0.08908678,0.00031481744,0.0008821841,0.00021929643,0.0050193924,0.010587787,0.0065186988,0.0017676415,0.0033919543
../../dataset/fruit30_split\val\梨\192.jpg,6,梨,6,梨,18,苹果-青,10,猕猴桃,True,3.506406e-07,1.7359367e-06,9.6036494e-08,0.0011379576,6.86555e-05,7.6358534e-05,0.98858845,0.00019164303,1.1773525e-06,2.96063e-07,0.0029288335,6.599161e-05,0.00015012067,1.4017927e-07,5.329587e-05,0.0003057072,1.3597062e-07,0.00057659915,0.0058177663,1.2161472e-07,2.9148412e-05,7.029867e-08,2.6928105e-06,2.6507854e-07,1.2222357e-06,1.453374e-07,8.305478e-07,2.946858e-07,1.597866e-08
../../dataset/fruit30_split\val\梨\27.jpg,6,梨,6,梨,3,柚子,18,苹果-青,True,7.65191e-06,0.00034375192,3.6284855e-05,0.05361731,0.040616382,1.01400055e-05,0.83281887,1.8671875e-05,6.884135e-06,0.00043306313,0.010544355,5.7844896e-05,0.00021382244,5.3447604e-07,0.00038910465,0.0067466046,9.470084e-06,8.0010934e-05,0.052036315,1.4836444e-05,3.4518802e-05,1.6929714e-07,2.3950859e-06,2.8723082e-06,4.819059e-06,1.8195118e-06,3.2474887e-05,0.0019147637,4.4030403e-06
../../dataset/fruit30_split\val\梨\32.jpeg,6,梨,15,芒果,6,梨,18,苹果-青,True,0.0011734144,0.00014571595,1.2016495e-05,0.033716846,0.030976411,0.0022120727,0.34605184,0.004974917,0.0103471475,5.466212e-05,0.032923117,0.00071476144,0.00024501423,0.004536615,0.0020015147,0.40148264,0.00015437801,0.0038047133,0.10443701,0.00021256553,0.0007087616,0.004325592,0.00022181238,0.0006473826,0.010160557,0.0012049298,7.575417e-05,0.0022032773,0.00027459287
